cve_id,compilers,published,last_modified,vulnerability_status,severity,cvss_score,cvss_vector,cwes,affected_products,references,description,source_identifier,matched_queries,collected_at
CVE-2002-1829,Glow,2002-12-31T05:00:00.000,2026-06-16T22:00:08.090,Modified,MEDIUM,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,,cpe:2.3:a:openbb:openbb:1.0.0_rc3:*:*:*:*:*:*:*,http://marc.info/?l=vuln-dev&m=102221487407632&w=2;http://www.securityfocus.com/bid/4819;https://exchange.xforce.ibmcloud.com/vulnerabilities/9160,"Cross-site scripting (XSS) vulnerability in codeparse.php in Open Bulletin Board (OpenBB) 1.0.0 RC3 allows remote attackers to inject arbitrary web script or HTML via (1) myhome.php, (2) an onerror attribute in an IMG tag (a variant of CVE-2002-0330), or (3) a glow tag.",cve@mitre.org,Glow,2026-09-21T18:43:55.486544+00:00
CVE-2004-1827,Glow,2004-03-15T05:00:00.000,2026-06-16T22:08:28.570,Modified,MEDIUM,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,,cpe:2.3:a:simple_machines:simple_machines_smf:1.0_b:*:*:*:*:*:*:*;cpe:2.3:a:yabb:yabb:1.5.1:*:second_edition:*:*:*:*:*;cpe:2.3:a:yabb:yabb:1_gold_-_sp_1.3:*:*:*:*:*:*:*,http://marc.info/?l=bugtraq&m=107936800226430&w=2;http://marc.info/?l=bugtraq&m=107948064923981&w=2;http://secunia.com/advisories/11128;http://securitytracker.com/id?1009427;http://www.securityfocus.com/bid/9873;http://www.yabbforum.com/community/YaBB.pl?board=general%3Baction=display%3Bnum=1093133233;https://exchange.xforce.ibmcloud.com/vulnerabilities/15488,Cross-site scripting (XSS) vulnerability in YaBB 1 Gold(SP1.3) and YaBB SE 1.5.1 Final allows remote attackers to inject arbitrary web script via the background:url property in (1) glow or (2) shadow tags.,cve@mitre.org,Glow,2026-09-21T18:43:55.486544+00:00
CVE-2007-1026,XLA,2007-02-21T11:28:00.000,2026-06-16T22:36:47.100,Modified,HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CWE-89,cpe:2.3:a:scriptdungeon:xlatunes:*:*:*:*:*:*:*:*,http://osvdb.org/33743;http://www.securityfocus.com/archive/1/460592/100/0/threaded;http://www.securityfocus.com/archive/1/460621/100/0/threaded;http://www.securityfocus.com/archive/1/460739/100/0/threaded;http://www.securityfocus.com/bid/22602;http://www.vupen.com/english/advisories/2007/0644;https://exchange.xforce.ibmcloud.com/vulnerabilities/32556;https://www.exploit-db.com/exploits/3327,SQL injection vulnerability in view.php in XLAtunes 0.1 and earlier allows remote attackers to execute arbitrary SQL commands via the album parameter in view mode. NOTE: some of these details are obtained from third party information.,cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2007-1653,Glow,2007-03-24T00:19:00.000,2026-06-16T22:38:02.077,Modified,HIGH,7.8,AV:N/AC:L/Au:N/C:N/I:N/A:C,,cpe:2.3:a:glowworm:glowworm:*:*:*:*:*:*:*:*,http://glowworm.us/history/release_1_5_3_b4.html;http://osvdb.org/43597,"GlowWorm FW before 1.5.3b4 allows remote attackers to cause a denial of service (kernel panic) via certain DNS responses that trigger infinite recursion in TrueDNS packet parsing, as originally observed with certain login.yahoo.com responses.",cve@mitre.org,Glow,2026-09-21T18:43:55.486544+00:00
CVE-2007-4630,XLA,2007-08-31T01:17:00.000,2026-06-16T22:44:28.130,Modified,MEDIUM,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,,cpe:2.3:a:xigla:absolute_poll_manager_xe:4.1:*:*:*:*:*:*:*,http://secunia.com/advisories/26648;http://securityreason.com/securityalert/3080;http://www.osvdb.org/36709;http://www.securityfocus.com/archive/1/478152/100/0/threaded;http://www.securityfocus.com/bid/25492;http://www.securitytracker.com/id?1018634;https://exchange.xforce.ibmcloud.com/vulnerabilities/36362,Cross-site scripting (XSS) vulnerability in xlaapmview.asp in Absolute Poll Manager XE 4.1 allows remote attackers to inject arbitrary web script or HTML via the msg parameter.,cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2007-6269,XLA,2007-12-07T11:46:00.000,2026-06-16T22:47:43.260,Modified,HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CWE-89,cpe:2.3:a:xigla:absolute_news_manager.net:5.1:*:*:*:*:*:*:*,http://marc.info/?l=bugtraq&m=119678724111351&w=2;http://osvdb.org/40576;http://secunia.com/advisories/27923;http://www.procheckup.com/Vulnerability_PR07-39.php;http://www.securityfocus.com/bid/26692;http://www.xigla.com/news/default.aspx;http://www.xigla.com/security/ANMNET51-SecurityUpdate20071128.zip;https://exchange.xforce.ibmcloud.com/vulnerabilities/38871,"Multiple SQL injection vulnerabilities in xlaabsolutenm.aspx in Absolute News Manager.NET 5.1 allow remote attackers to execute arbitrary SQL commands via the (1) z, (2) pz, (3) ord, and (4) sort parameters.",cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2007-6270,XLA,2007-12-07T11:46:00.000,2026-06-16T22:47:43.380,Modified,MEDIUM,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,CWE-79,cpe:2.3:a:xigla:absolute_news_manager.net:5.1:*:*:*:*:*:*:*,http://marc.info/?l=bugtraq&m=119678724111351&w=2;http://osvdb.org/40577;http://osvdb.org/40578;http://secunia.com/advisories/27923;http://www.procheckup.com/Vulnerability_PR07-39.php;http://www.securityfocus.com/bid/26692;http://www.xigla.com/news/default.aspx;https://exchange.xforce.ibmcloud.com/vulnerabilities/38872;https://exchange.xforce.ibmcloud.com/vulnerabilities/38873,Multiple cross-site scripting (XSS) vulnerabilities in Absolute News Manager.NET 5.1 allow remote attackers to inject arbitrary web script or HTML via the (1) rmore parameter to xlaabsolutenm.aspx and the (2) template parameter to pages/default.aspx.,cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2008-4569,XLA,2008-10-15T20:00:03.737,2026-06-16T22:58:05.140,Modified,HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CWE-89,cpe:2.3:a:xigla:absolute_poll_manager_xe:4.1:*:*:*:*:*:*:*,http://securityreason.com/securityalert/4417;http://www.securityfocus.com/bid/31724;https://exchange.xforce.ibmcloud.com/vulnerabilities/45823;https://www.exploit-db.com/exploits/6731,SQL injection vulnerability in xlacomments.asp in XIGLA Software Absolute Poll Manager XE 4.1 allows remote attackers to execute arbitrary SQL commands via the p parameter.,cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2009-1504,XLA,2009-05-01T17:30:00.483,2026-06-16T23:07:24.550,Modified,HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CWE-287,cpe:2.3:a:xigla:absolute_control_panel_xe:1.5:*:*:*:*:*:*:*,https://www.exploit-db.com/exploits/8529,"Absolute Form Processor XE 1.5 allows remote attackers to bypass authentication and gain administrative access by setting the xlaAFPadmin cookie to ""lvl=1&userid=1.""",cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2012-5451,TVM,2015-04-24T14:59:04.843,2026-06-16T23:46:49.090,Modified,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,CWE-119,cpe:2.3:a:tvmobili:tvmobili:*:*:*:*:*:*:*:*,http://www.securityfocus.com/bid/56853;http://www.tvmobili.com/changelog.php;https://www.htbridge.com/advisory/HTB23120,Multiple stack-based buffer overflows in HttpUtils.dll in TVMOBiLi before 2.1.0.3974 allow remote attackers to cause a denial of service (tvMobiliService service crash) via a long string in a (1) GET or (2) HEAD request to TCP port 30888.,cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
