type,name,count,rows_with_category
category,Memory Safety,270,227
category,Injection,101,97
category,Integer / Arithmetic,93,93
category,Input Validation / Error Handling,91,84
category,Denial of Service / Resource Exhaustion,87,85
category,Access Control / Authorization,60,56
category,File / Path Handling,57,51
category,Unknown (Missing CWE),32,32
category,Authentication / Credentials,21,21
category,Information Disclosure / Side-Channel,20,19
category,Request Forgery (CSRF/SSRF),17,17
category,Deserialization,16,16
category,Cryptography / Data Protection,13,9
category,Concurrency / Race Condition,7,6
category,Configuration / Environment,5,5
category,Web Redirect,4,4
category,Supply Chain / Integrity,3,3
category,Other,2,2
category,Session Management,1,1
cwe,CWE-125,61,
cwe,CWE-617,60,
cwe,CWE-476,56,
cwe,CWE-20,55,
cwe,CWE-369,51,
cwe,CWE-787,42,
cwe,CWE-119,35,
cwe,CWE-79,30,
cwe,CWE-190,28,
cwe,CWE-22,27,
cwe,CWE-94,19,
cwe,CWE-862,17,
cwe,CWE-502,16,
cwe,CWE-78,15,
cwe,CWE-200,14,
cwe,CWE-434,14,
cwe,CWE-77,14,
cwe,CWE-918,14,
cwe,CWE-824,14,
cwe,CWE-131,12,
cwe,CWE-120,11,
cwe,CWE-416,9,
cwe,CWE-639,9,
cwe,CWE-284,9,
cwe,CWE-754,9,
cwe,CWE-89,8,
cwe,CWE-843,8,
cwe,CWE-681,7,
cwe,CWE-908,7,
cwe,CWE-1284,7,
cwe,CWE-400,6,
cwe,CWE-697,6,
cwe,CWE-264,5,
cwe,CWE-285,5,
cwe,CWE-122,5,
cwe,CWE-665,5,
cwe,CWE-29,5,
cwe,CWE-399,4,
cwe,CWE-798,4,
cwe,CWE-306,4,
cwe,CWE-415,4,
cwe,CWE-863,4,
cwe,CWE-835,4,
cwe,CWE-601,4,
cwe,CWE-755,4,
cwe,CWE-189,3,
cwe,CWE-770,3,
cwe,CWE-667,3,
cwe,CWE-74,3,
cwe,CWE-266,3,
cwe,CWE-352,3,
cwe,CWE-276,3,
cwe,CWE-674,3,
cwe,CWE-401,3,
cwe,CWE-59,2,
cwe,CWE-288,2,
cwe,CWE-552,2,
cwe,CWE-269,2,
cwe,CWE-522,2,
cwe,CWE-287,2,
cwe,CWE-362,2,
cwe,CWE-841,2,
cwe,CWE-80,2,
cwe,CWE-611,2,
cwe,CWE-1321,2,
cwe,CWE-354,2,
cwe,CWE-732,2,
cwe,CWE-440,2,
cwe,CWE-829,2,
cwe,CWE-598,2,
cwe,CWE-178,2,
cwe,CWE-23,2,
cwe,CWE-191,2,
cwe,CWE-704,2,
cwe,CWE-36,2,
cwe,CWE-134,1,
cwe,CWE-640,1,
cwe,CWE-668,1,
cwe,CWE-219,1,
cwe,CWE-250,1,
cwe,CWE-311,1,
cwe,CWE-427,1,
cwe,CWE-323,1,
cwe,CWE-15,1,
cwe,CWE-203,1,
cwe,CWE-208,1,
cwe,CWE-425,1,
cwe,CWE-646,1,
cwe,CWE-1220,1,
cwe,CWE-532,1,
cwe,CWE-613,1,
cwe,CWE-35,1,
cwe,CWE-307,1,
cwe,CWE-95,1,
cwe,CWE-116,1,
cwe,CWE-319,1,
cwe,CWE-302,1,
cwe,CWE-1333,1,
cwe,CWE-305,1,
cwe,CWE-807,1,
cwe,CWE-290,1,
cwe,CWE-326,1,
cwe,CWE-328,1,
cwe,CWE-335,1,
cwe,CWE-339,1,
cwe,CWE-310,1,
cwe,CWE-330,1,
cwe,CWE-356,1,
cwe,CWE-1039,1,
cwe,CWE-98,1,
cwe,CWE-312,1,
cwe,CWE-548,1,
cwe,CWE-193,1,
cwe,CWE-345,1,
cwe,CWE-662,1,
cwe,CWE-682,1,
cwe,CWE-367,1,
cwe,CWE-1236,1,
cwe,CWE-475,1,
cwe,CWE-670,1,
cwe,CWE-257,1,
cwe,CWE-76,1,
cwe,CWE-1390,1,
cwe,CWE-121,1,
cwe,CWE-126,1,
cwe,CWE-494,1,
cwe,CWE-1336,1,
