id,repository,number,state,title,labels,is_pull_request,created_at,updated_at,closed_at,author,comments,url,body
1702778058,NVIDIA/Fuser,315,OPEN,[Feature Request] codegen should be able to produce scalar output,,False,2023-05-09T21:26:23Z,2025-08-11T23:40:39Z,,jjsjann123,13,https://github.com/NVIDIA/Fuser/issues/315,"Opening an issue to track this. Want to get an idea on how easy it is for us to plumb support for codegen to output scalar values. Currently the cases we are looking at are where the input is just a scalar. So this can already be done with ExpressionEvaluation, the plumbing might be a little bit ugly on the runtime system, since we need to glue the results from the kernel execution; But I expect support on codegen would be equally tedious/ugly?! I'm quite neutral on how this should be supported. cc'ing @kevinstephano @naoyam"
1704375593,NVIDIA/Fuser,319,OPEN,Optimize fmax with NAN,good first issue;perf,False,2023-05-10T17:43:21Z,2025-08-26T18:00:36Z,,naoyam,21,https://github.com/NVIDIA/Fuser/issues/319,"Fp max reductions would typically look like:   for(nvfuser_index_t i154 = 0; i154 < 8; ++i154) {     int i299;     i299 = 4 * i154; #pragma unroll       for(nvfuser_index_t i156 = 0; i156 < 4; ++i156) {         T29[0] = fmax(             T29[0],             T24[(i299 + i156)]);       }   }  Here, fmax is is not just fmaxf, but it also incurs two more comparisons in case the arguments are NAN: https://github.com/NVIDIA/Fuser/blob/main/runtime/helpers.cu#LL102C1-L111C2 This could be translated as:   bool is_nan = false; #pragma unroll   for(nvfuser_index_t i154 = 0; i154 < 8; ++i154) {     int i299;     i299 = 4 * i154; #pragma unroll       for(nvfuser_index_t i156 = 0; i156 < 4; ++i156) { #if 0         T29[0] = fmax(             T29[0],             T24[(i299 + i156)]); #else         T29[0] = T29[0] > T24[(i299 + i156)] ? T29[0] : T24[(i299 + i156)];         is_nan = is_nan || isnan(T24[(i299 + i156)]); #endif       }   }   if (is_nan) {     T29[0] = NAN;   }  In the case of cross entropy loss (#278), I observed 20% speedup on A100. I think this translation could be done automatically as part of lowering. See the translation for welford vectorization."
1734968091,NVIDIA/Fuser,432,OPEN,Opinfo testing for python frontend,good first issue;opinfo,False,2023-05-31T20:29:34Z,2025-08-07T11:07:33Z,,rdspring1,3,https://github.com/NVIDIA/Fuser/issues/432,"This issue tracks opinfo testing for various operations in the python frontend. The goal is to find any corner cases and test for error conditions. Unary   ceil, floor, frac, neg, bitwise_not, trunc, reciprocal, round  Bool   isfinite, isinf, isnan, isneginf, isposinf, isreal, signbit  Float   abs, acos, acosh, asin, asinh, atan, atanh, cos, cosh, erf, erfc, erfcinv, erfinv, exp, exp2, expm1, lgamma, log, log10, log1p, log2, reciprocal, rsqrt, sign, sin, sinh, sqrt, tan, tanh  Binary Float   atan2, truediv  Float-Only    nextafter  Cast-Integers-to-Float    add, ceildiv, div, fmod, mod, mul, pow, remainder, sub  Bitwise    and, or, xor  Int-Only    bitwise_left_shift, bitwise_right_shift, logical_right_shift, gcd  Compare    eq, ge, gt, le, lt, ne  Ternary    lerp  Binary - Alpha    add-alpha, sub-alpha  Ternary-Alpha    add-cmul  Ternary - Conditional   where  Threshold   clamp  threshold  Tensor Creation   full  iota  Transformation   cast  Shape   broadcast  broadcast-in-dims  cat  gather  index-select  pad  permute  reshape  slice  take-along-axis  Reduction   max  min  prod  sum  Cumulative Scan   max  min  prod  sum  Normalization   batch-norm  variance  variance-mean  Random   uniform  normal  Matrix-Multiplication  NN, NT, TN, TT"
1736569924,NVIDIA/Fuser,437,OPEN,Ensure flexibility in matmul definition,Matmuls;Priority = P2,False,2023-06-01T15:27:15Z,2025-08-18T22:12:29Z,,zasdfgbnm,7,https://github.com/NVIDIA/Fuser/issues/437,"This issue lists a few cases of valid matmul fusion definition that we are currently not supporting but eventually should support it. These cases are not prioritized, but when building out our segmenter and scheduler, we should keep them in mind to not contradict with them. Generally our design should support these cases without extra work. We should avoid having a long list of if statements to pattern these cases and special handling them."
1772069530,NVIDIA/Fuser,521,OPEN,`gather` with broadcast `index` dimension is triggering an error.,opinfo,False,2023-06-23T20:03:29Z,2025-07-24T01:36:21Z,,rdspring1,0,https://github.com/NVIDIA/Fuser/issues/521,"Proposed workaround: Throw an exception for this case in the python frontend. Exception Log: Couldn't find allocation mapping for T0_g[ iS53{T0.size[0]}, iS54{T0.size[1]}, iS55{T0.size[2]} ] dim: 2 id: iS55{T0.size[2]} Exception raised from getProducerAllocationIndices at /home/rspring/workspace/top_level_nvfuser/csrc/index_compute.cpp:1932 (most recent call first): frame #0: c10::Error::Error(c10::SourceLocation, std::string) + 0x57 (0x7f7ff368a477 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libc10.so) frame #1: c10::detail::torchCheckFail(char const*, char const*, unsigned int, std::string const&) + 0x64 (0x7f7ff364689b in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libc10.so) frame #2: c10::detail::torchInternalAssertFail(char const*, char const*, unsigned int, char const*, std::string const&) + 0x3f (0x7f7ff36881cf in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libc10.so) frame #3: nvfuser::Index::getProducerAllocationIndices(nvfuser::TensorView*, nvfuser::TensorView const*, std::vector<nvfuser::kir::ForLoop*, std::allocator<nvfuser::kir::ForLoop*> > const&, std::unordered_set<nvfuser::kir::ForLoop*, std::hash<nvfuser::kir::ForLoop*>, std::equal_to<nvfuser::kir::ForLoop*>, std::allocator<nvfuser::kir::ForLoop*> > const&, std::unordered_map<nvfuser::IterDomain*, nvfuser::Val*, std::hash<nvfuser::IterDomain*>, std::equal_to<nvfuser::IterDomain*>, std::allocator<std::pair<nvfuser::IterDomain* const, nvfuser::Val*> > > const&) + 0xd8d (0x7f7f83485a1d in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #4: nvfuser::Index::getGlobalProducerStridedIndices(nvfuser::TensorView*, nvfuser::TensorView const*, std::vector<nvfuser::kir::ForLoop*, std::allocator<nvfuser::kir::ForLoop*> > const&, std::unordered_set<nvfuser::kir::ForLoop*, std::hash<nvfuser::kir::ForLoop*>, std::equal_to<nvfuser::kir::ForLoop*>, std::allocator<nvfuser::kir::ForLoop*> > const&, std::unordered_map<nvfuser::IterDomain*, nvfuser::Val*, std::hash<nvfuser::IterDomain*>, std::equal_to<nvfuser::IterDomain*>, std::allocator<std::pair<nvfuser::IterDomain* const, nvfuser::Val*> > > const&) + 0x90 (0x7f7f83485be0 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #5: nvfuser::Index::getProducerStridedIndices(nvfuser::TensorView*, nvfuser::TensorView const*, std::vector<nvfuser::kir::ForLoop*, std::allocator<nvfuser::kir::ForLoop*> > const&, std::unordered_set<nvfuser::kir::ForLoop*, std::hash<nvfuser::kir::ForLoop*>, std::equal_to<nvfuser::kir::ForLoop*>, std::allocator<nvfuser::kir::ForLoop*> > const&, std::unordered_map<nvfuser::IterDomain*, nvfuser::Val*, std::hash<nvfuser::IterDomain*>, std::equal_to<nvfuser::IterDomain*>, std::allocator<std::pair<nvfuser::IterDomain* const, nvfuser::Val*> > > const&, bool) + 0x2bb (0x7f7f8348b5eb in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #6: nvfuser::Index::getProducerIndex(nvfuser::TensorView*, nvfuser::TensorView const*, std::vector<nvfuser::kir::ForLoop*, std::allocator<nvfuser::kir::ForLoop*> > const&, std::unordered_set<nvfuser::kir::ForLoop*, std::hash<nvfuser::kir::ForLoop*>, std::equal_to<nvfuser::kir::ForLoop*>, std::allocator<nvfuser::kir::ForLoop*> > const&, std::unordered_map<nvfuser::IterDomain*, nvfuser::Val*, std::hash<nvfuser::IterDomain*>, std::equal_to<nvfuser::IterDomain*>, std::allocator<std::pair<nvfuser::IterDomain* const, nvfuser::Val*> > > const&, bool) + 0x1e (0x7f7f8348b83e in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #7: nvfuser::IndexLowering::handle(nvfuser::TorchGatherOp const*) + 0x290 (0x7f7f835be330 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #8: nvfuser::IndexLowering::handle(nvfuser::kir::IfThenElse const*) + 0xdf (0x7f7f835b658f in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #9: nvfuser::IndexLowering::handle(nvfuser::kir::ForLoop const*) + 0xe7 (0x7f7f835b5a07 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #10: nvfuser::IndexLowering::handle(nvfuser::kir::ForLoop const*) + 0xe7 (0x7f7f835b5a07 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #11: nvfuser::IndexLowering::handle(nvfuser::kir::ForLoop const*) + 0xe7 (0x7f7f835b5a07 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #12: nvfuser::IndexLowering::handle(nvfuser::kir::IfThenElse const*) + 0xdf (0x7f7f835b658f in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #13: nvfuser::IndexLowering::handle(nvfuser::kir::ForLoop const*) + 0xe7 (0x7f7f835b5a07 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #14: nvfuser::IndexLowering::generate(std::vector<nvfuser::Expr*, std::allocator<nvfuser::Expr*> > const&) + 0x2f (0x7f7f835b14af in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #15: nvfuser::GpuLower::lower(nvfuser::Fusion*) + 0x27bd (0x7f7f83605fad in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #16: nvfuser::GpuLower::GpuLower(nvfuser::Fusion*, nvfuser::CompileParams const&) + 0x66a (0x7f7f833d4a7a in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #17: nvfuser::FusionExecutor::compileFusion(nvfuser::Fusion*, nvfuser::KernelArgumentHolder const&, nvfuser::LaunchParams const&, nvfuser::CompileParams) + 0x461 (0x7f7f833ccdb1 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) frame #18: nvfuser::FusionKernelRuntime::compileKernel(nvfuser::KernelArgumentHolder const&, nvfuser::SegmentedGroup*) + 0x193 (0x7f7f835187f3 in /home/rspring/miniconda3/lib/python3.9/site-packages/torch/lib/libnvfuser_codegen.so) Torch example import torch x = torch.randn(4, 2, 3).to('cuda') index = torch.randint(0, 4, (8, 2, 1)).to('cuda') torch.gather(x, 0, index) Nvfuser python-frontend import torch from nvfuser import FusionDefinition, DataType  def nvfuser_fusion_id89(fd : FusionDefinition) -> None :     T0 = fd.define_tensor(symbolic_sizes=[-1, -1, -1], contiguity=[True, True, True], dtype=DataType.Int32, is_cpu=False)     T1 = fd.define_tensor(symbolic_sizes=[-1, -1, 1], contiguity=[True, True, None], dtype=DataType.Int, is_cpu=False)     T2 = fd.ops.gather(T0, T1, dim=0)     fd.add_output(T2)  with FusionDefinition() as fd:     nvfuser_fusion_id89(fd)  inputs = [     torch.randint(0, 10, (4, 2, 3), dtype=torch.int32, device='cuda:0').as_strided((4, 2, 3), (6, 3, 1)),     torch.randint(0, 10, (8, 2, 1), dtype=torch.int64, device='cuda:0').as_strided((8, 2, 1), (2, 1, 1)), ] fd.execute(inputs)"
1816096858,NVIDIA/Fuser,635,OPEN,Detect when CUDA Graph capture is ongoing at the time of kernel compilation or loading,good first issue;Host Latency,False,2023-07-21T16:41:40Z,2025-08-11T23:39:13Z,,IvanYashchuk,1,https://github.com/NVIDIA/Fuser/issues/635,"Here's a way to trigger a CUDA error of not permitted operation during graph capturing. It would be great to detect that the CUDA graph capture is ongoing before we try to load/compile kernels and error out with a better error message. import torch from nvfuser import FusionDefinition, DataType  with FusionDefinition() as fd:     T1 = fd.define_tensor(symbolic_sizes=[-1], contiguity=[True], dtype=DataType.Float, is_cpu=False)     T2 = fd.define_tensor(symbolic_sizes=[-1], contiguity=[True], dtype=DataType.Float, is_cpu=False)     T3 = fd.ops.add(T1, T2)     fd.add_output(T3)  t1 = torch.randn(10, device=""cuda"") t2 = torch.randn(10, device=""cuda"")  torch.cuda.synchronize() stream = torch.cuda.Stream() stream.wait_stream(torch.cuda.current_stream()) stream.synchronize() torch.cuda.current_stream().wait_stream(stream) torch.cuda.synchronize()  # Skipping warmup going straight to CUDA graph capture graph = torch.cuda.CUDAGraph() with torch.cuda.graph(graph, stream=stream):     out = fd.execute([t1, t2])  torch.cuda.synchronize() error: An error occurred while executing nvFuser FusionDefinition 0. If you believe this is a bug or need assistance, please file an issue at https://github.com/NVIDIA/Fuser/issues/new Here's a script to reproduce the error:  import torch from nvfuser import FusionDefinition, DataType  def nvfuser_fusion_id0(fd : FusionDefinition) -> None :     T0 = fd.define_tensor(symbolic_sizes=[-1], contiguity=[True], dtype=DataType.Float, is_cpu=False)     T1 = fd.define_tensor(symbolic_sizes=[-1], contiguity=[True], dtype=DataType.Float, is_cpu=False)     T2 = fd.ops.add(T0, T1)     fd.add_output(T2)  with FusionDefinition() as fd:     nvfuser_fusion_id0(fd)  inputs = [     torch.randn((10,), dtype=torch.float32, device='cuda:0').as_strided((10,), (1,)),     torch.randn((10,), dtype=torch.float32, device='cuda:0').as_strided((10,), (1,)), ] fd.execute(inputs)  Traceback (most recent call last):   File ""/home/iyashchuk/dev/pytorch/master/nvfuser/__init__.py"", line 111, in execute     result = self._execute(inputs, override_user_schedule, device=device) RuntimeError: _result == CUDA_SUCCESS INTERNAL ASSERT FAILED at ""/home/iyashchuk/dev/nvfuser/csrc/executor_utils.cpp"":1124, please report a bug to PyTorch. CUDA error: CUDA_ERROR_STREAM_CAPTURE_UNSUPPORTED failed with error operation not permitted when stream is capturing"
1817088652,NVIDIA/Fuser,639,OPEN,"Specify rank and world size using python frontend. For now we parse env for the variable “WORLD_RANK” or ""OMPI_COMM_WORLD_RANK”, etc.",Multi-GPU,False,2023-07-23T11:15:11Z,2025-08-11T23:38:28Z,,samnordmann,0,https://github.com/NVIDIA/Fuser/issues/639,
1831769006,NVIDIA/Fuser,671,OPEN,Remove `computeAt` in unit tests,good first issue;Priority = P2,False,2023-08-01T17:56:40Z,2025-08-12T00:17:20Z,,zasdfgbnm,4,https://github.com/NVIDIA/Fuser/issues/671,"In the past, we used computeAt as our scheduling primitive. computeAt has been deprecated. However, there are still many unit tests using computeAt. We should replace computeAt in these tests with more modern primitives like TransformPropagator and inlining.  A good task that can help gain some understanding of our scheduling primitives can be to pick a test with computeAt and clean up that test."
1871149110,NVIDIA/Fuser,806,OPEN,Silent incorrect result with contiguity set to True but passing stride-0 tensors,Thunder,False,2023-08-29T08:23:13Z,2024-11-04T19:59:20Z,,IvanYashchuk,2,https://github.com/NVIDIA/Fuser/issues/806,"To reproduce: from nvfuser import FusionDefinition, DataType import torch  with FusionDefinition() as fd:     t0 = fd.define_tensor(shape=[-1, -1], contiguity=[True, True], dtype=DataType.Float)     t1 = fd.ops.sin(t0)     fd.add_output(t1)  a = torch.randn(3, device=""cuda"") a.unsqueeze_(-1) print(f""{a.shape=}, {a.stride()=}"") # a.shape=torch.Size([3, 1]), a.stride()=(1, 1)  # This works fine out = fd.execute([a]) torch.testing.assert_close(out[0], torch.sin(a))  a = torch.randn((), device=""cuda"") a = a.expand(3, 3) print(f""{a.shape=}, {a.stride()=}"") # a.shape=torch.Size([3, 3]), a.stride()=(0, 0) out = fd.execute([a])  # This assert fails, silent incorrect result! torch.testing.assert_close(out[0], torch.sin(a)) In [2]: nvfuser.__version__ Out[2]: '0.0.19+git35af82f'"
1877595699,NVIDIA/Fuser,828,OPEN,Consider hiding flatbuffer in cpp,build;Priority = P2,False,2023-09-01T15:05:43Z,2025-08-12T17:52:33Z,,zasdfgbnm,2,https://github.com/NVIDIA/Fuser/issues/828,"Because we do not expect users to deal with flatbuffers directly, should we restrict flatbuffer includes to cpp-only? This way, users linking with nvFuser will not have to deal with flatbuffers. An alternative approach is to add missing headers, which is a quick patch for unblocking: #823 cc @rdspring1 @mmigdal-nv"
